code station,code station,code station,Taille du support (nb pixels),code station + n° de galet,coordonnées point départ galet,coordonnées point départ galet,Aire,Périmètre,Aire de l’enveloppe convexe,Périmètre de l’enveloppe convexe,R (+ grand rayon inscrit),l (axe a),L (axe b),e (élongation : b/a),polyg (nb de côtés),,Compacité,Circularité,Convexity Ps/Pch,Convexity As/Ach,moyK,eK,varK,"Wadell (1,5)","Cailleux (1,5)",Dervin (84),Pg/pe
,,,,,,,As,Ps,Ach,Pch,R,a,b, e = b/a,,,,Ps/(2*racine(As*Pi),Ps/Pch,As/Ach,,,,Rw,,rD,rP
Computing\000_0573.JPG,Computing\000_0573-B.jpg,Computing\000_0573-R.jpg,1130.81,Computing\000_0573-g0.jpg,(352,1244),348,11544.5,384.614,11684.5,386.369,56.6039,131.59,116.673,0.886636,5,0.980695,1.00979,1.00456,0.988018,5.94139,38.9634,3.66327,0.831173,524.954,0.900418,0.993925
Computing\000_0573.JPG,Computing\000_0573-B.jpg,Computing\000_0573-R.jpg,1130.81,Computing\000_0573-g1.jpg,(1033,1240),421,13738.5,451.237,13942.5,452.102,48.5077,179.101,97.1565,0.542469,6,0.84789,1.086,1.00192,0.985368,5.12693,45.7822,19.4968,0.755529,222.562,0.866485,0.991468
Computing\000_0573.JPG,Computing\000_0573-B.jpg,Computing\000_0573-R.jpg,1130.81,Computing\000_0573-g2.jpg,(228,1227),352,11197.5,389.641,11384,390.224,53.6004,137.644,108.673,0.789519,5,0.926834,1.03872,1.0015,0.983617,5.16787,43.959,17.2521,0.652711,240.753,0.872874,0.976648
Computing\000_0573.JPG,Computing\000_0573-B.jpg,Computing\000_0573-R.jpg,1130.81,Computing\000_0573-g3.jpg,(893,1226),404,14591.5,439.573,14786.5,441.37,59.203,156.605,118.605,0.757356,5,0.948959,1.02654,1.00409,0.986812,5.55624,41.2163,10.3445,0.758639,350.763,0.896045,0.988272
Computing\000_0573.JPG,Computing\000_0573-B.jpg,Computing\000_0573-R.jpg,1130.81,Computing\000_0573-g4.jpg,(499,1226),346,8982,378.801,9301,370.137,42.0119,137.615,91.5117,0.664981,5,0.786611,1.12751,0.977128,0.965703,7.15269,308.51,257.349,0.502887,82.8523,0.813685,0.933377
Computing\000_0573.JPG,Computing\000_0573-B.jpg,Computing\000_0573-R.jpg,1130.81,Computing\000_0573-g5.jpg,(750,1217),376,11988.5,403.192,12160,404.778,50,148.973,99,0.664549,5,0.926724,1.03878,1.00393,0.985896,5.47279,40.8375,10.8861,0.777533,322.852,0.948345,0.99231
Computing\000_0573.JPG,Computing\000_0573-B.jpg,Computing\000_0573-R.jpg,1130.81,Computing\000_0573-g6.jpg,(616,1217),383,11891.5,408.084,12074.5,409.53,47.8539,156.895,95.3478,0.607717,5,0.897319,1.05567,1.00354,0.984844,5.24049,42.3047,14.842,0.746291,305.565,0.947964,0.990575
Computing\000_0573.JPG,Computing\000_0573-B.jpg,Computing\000_0573-R.jpg,1130.81,Computing\000_0573-g7.jpg,(139,1129),271,6434.5,290.886,6564.5,292.053,42.2966,99.0202,85,0.858411,5,0.955606,1.02296,1.00401,0.980197,5.0606,31.5786,5.96898,0.795466,421.31,0.885896,0.982729
Computing\000_0573.JPG,Computing\000_0573-B.jpg,Computing\000_0573-R.jpg,1130.81,Computing\000_0573-g8.jpg,(378,1102),287,7697.5,314.639,7819,316.081,46.8402,105.119,96.5816,0.918784,5,0.977088,1.01166,1.00458,0.984461,5.89082,37.9526,3.25083,0.856776,623.926,0.953518,0.992349
Computing\000_0573.JPG,Computing\000_0573-B.jpg,Computing\000_0573-R.jpg,1130.81,Computing\000_0573-g9.jpg,(1119,1098),336,9940,362.469,10095,364.021,52,125.363,106.88,0.852557,5,0.950725,1.02559,1.00428,0.984646,5.3102,39.834,11.6358,0.715057,371.173,0.922022,0.979726
Computing\000_0573.JPG,Computing\000_0573-B.jpg,Computing\000_0573-R.jpg,1130.81,Computing\000_0573-g10.jpg,(651,1092),269,6505.5,300.371,6647.5,301.632,37.3363,114.586,74.627,0.651273,5,0.906098,1.05054,1.0042,0.978639,5.74182,51.8174,18.8488,0.740624,221.979,0.88607,0.987389
Computing\000_0573.JPG,Computing\000_0573-B.jpg,Computing\000_0573-R.jpg,1130.81,Computing\000_0573-g11.jpg,(745,1086),299,7920.5,321.44,8059,323.322,44.5982,109.932,89.9074,0.817847,5,0.963302,1.01887,1.00586,0.982814,5.42326,35.0354,5.62373,0.830553,349.988,0.957856,0.990532
Computing\000_0573.JPG,Computing\000_0573-B.jpg,Computing\000_0573-R.jpg,1130.81,Computing\000_0573-g12.jpg,(964,1084),314,9530,350.433,9680.5,352.194,51.7397,120.814,105.332,0.871849,5,0.975201,1.01264,1.00503,0.984453,5.97324,39.1274,3.44773,0.825774,542.003,0.959716,0.994801
Computing\000_0573.JPG,Computing\000_0573-B.jpg,Computing\000_0573-R.jpg,1130.81,Computing\000_0573-g13.jpg,(841,1084),282,6384.5,303.058,6531,304.389,35.4401,120.569,71.1512,0.590127,4,0.873544,1.06994,1.00439,0.977569,5.13614,43.2698,16.8899,0.724505,220.855,0.891023,0.982937
Computing\000_0573.JPG,Computing\000_0573-B.jpg,Computing\000_0573-R.jpg,1130.81,Computing\000_0573-g14.jpg,(240,1084),265,5930,283.886,6048.5,285.182,36.1248,99.1817,75.7278,0.763526,4,0.924648,1.03995,1.00456,0.980408,5.19888,40.06,13.0316,0.774916,381.821,0.947533,0.978854
